Player,Team,Pos,FO,SP,CF,GP
David Backes,Bruins,C,0.412,3.8,0.553,16
Patrice Bergeron,Bruins,C,0.578,15.3,0.563,61
Anders Bjork,Bruins,LW,0.333,13.6,0.492,58
Anton Blidh,Bruins,LW,0,0,0.494,7
Paul Carey,Bruins,C,0,0,0.125,1
Brandon Carlo,Bruins,D,0,3.6,0.514,67
Peter Cehlarik,Bruins,LW,0.5,0,0.635,3
Zdeno Chara,Bruins,D,0,5.8,0.467,68
Connor Clifton,Bruins,D,0,10,0.466,31
Charlie Coyle,Bruins,C,0.466,11,0.513,70
Jake Debrusk,Bruins,LW,0.346,11.8,0.52,65
Trent Frederic,Bruins,C,0,0,0.095,2
Brendan Gaunce,Bruins,C,0,0,0.125,1
Matt Grzelcyk,Bruins,D,0,3.6,0.518,68
Danton Heinen,Bruins,C,0.417,7.8,0.48,58
Cameron Hughes,Bruins,C,0,0,0.357,1
Steven Kampfer,Bruins,D,0,0,0.505,10
Ondrej Kase,Bruins,RW,0,0,0.473,6
David Krejci,Bruins,C,0.502,15.7,0.513,61
Torey Krug,Bruins,D,0,6.3,0.562,61
Karson Kuhlman,Bruins,C,0.25,2.2,0.544,25
Sean Kuraly,Bruins,C,0.488,6.3,0.458,69
Jeremy Lauzon,Bruins,D,0,5,0.468,19
Par Lindholm,Bruins,C,0.458,8.6,0.47,40
Brad Marchand,Bruins,LW,0.431,15.1,0.56,70
Charlie McAvoy,Bruins,D,0,5,0.513,67
John Moore,Bruins,D,0,6.1,0.497,24
Joakim Nordstrom,Bruins,C,0.143,8.2,0.424,48
David Pastrnak,Bruins,RW,0.389,17.2,0.553,70
Brett Ritchie,Bruins,RW,0.4,5.9,0.511,27
Nick Ritchie,Bruins,LW,0,12.5,0.489,7
Zachary Senyshyn,Bruins,RW,1,0,0.578,4
Jack Studnicka,Bruins,C,0.6,0,0.514,2
Urho Vaakanainen,Bruins,D,0,0,0.368,5
Chris Wagner,Bruins,C,0.462,7.7,0.452,67
Nicolas Beaudin,Blackhawks,D,0,0,0.4,1
Adam Boqvist,Blackhawks,D,0,8,0.479,41
Drake Caggiula,Blackhawks,LW,0.286,16.1,0.482,40
Lucas Carlsson,Blackhawks,D,0,0,0.496,6
Ryan Carpenter,Blackhawks,C,0.431,3.8,0.471,69
Kirby Dach,Blackhawks,C,0.338,7.9,0.484,64
Calvin de Haan,Blackhawks,D,0,2.4,0.475,29
Alex DeBrincat,Blackhawks,RW,0.35,8.7,0.501,70
Dennis Gilbert,Blackhawks,D,0,8.3,0.43,21
Erik Gustafsson,Blackhawks,D,0,6.1,0.504,59
Brandon Hagel,Blackhawks,LW,0,0,0.438,1
Matthew Highmore,Blackhawks,LW,0.25,5.7,0.465,36
David Kampf,Blackhawks,C,0.523,8.9,0.479,70
Patrick Kane,Blackhawks,RW,0.25,12,0.491,70
Duncan Keith,Blackhawks,D,0,2.7,0.491,61
Slater Koekkoek,Blackhawks,D,0,2.1,0.525,42
Dominik Kubalík,Blackhawks,LW,0.316,19.1,0.501,68
Olli Maatta,Blackhawks,D,0,5,0.492,65
Connor Murphy,Blackhawks,D,0,4.3,0.496,58
Alexander Nylander,Blackhawks,LW,0.263,10.6,0.494,65
Brendan Perlini,Blackhawks,LW,0,0,0.667,1
John Quenneville,Blackhawks,C,0.75,0,0.51,9
Brandon Saad,Blackhawks,LW,0.397,15,0.511,58
Brent Seabrook,Blackhawks,D,0,7.5,0.444,32
Nick Seeler,Blackhawks,D,0,0,0.389,6
Andrew Shaw,Blackhawks,C,0.452,6.5,0.522,26
Dylan Sikura,Blackhawks,C,0,10,0.482,9
Zack Smith,Blackhawks,C,0.463,9.3,0.462,50
Dylan Strome,Blackhawks,C,0.477,12.4,0.497,58
Jonathan Toews,Blackhawks,C,0.573,10.5,0.505,70
Anton Wedin,Blackhawks,F,0,0,0.432,4
