,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
1,Justin Abdelkader\abdelju01,32,DET,LW,49,274,377,42.1,-4.3,201,263,43.3,-2.9,4.3,89.5,93.8,43.6,56.4,11:32,9:48,10,18,-6.5,76,52.6
2,Pontus Aberg\abergpo01,26,TOR,LW,5,28,42,40.0,-15.7,17,32,34.7,-18.9,10.0,94.4,104.4,53.3,46.7,8:42,8:42,1,2,-0.4,5,80.0
3,Vitaly Abramov\abramvi01,21,OTT,RW,2,11,17,39.3,-14.7,9,12,42.9,-11.8,16.7,87.5,104.2,33.3,66.7,5:47,5:47,0,1,-0.3,4,75.0
4,Noel Acciari\acciano01,28,FLA,C,66,658,758,46.5,-3.9,481,536,47.3,-3.2,12.0,89.2,101.2,39.0,61.0,15:57,13:08,32,21,-4.8,189,57.1
5,Andrew Agozzino\agozzan01,29,TOT,LW,22,109,85,56.2,9.2,77,62,55.4,8.4,14.0,92.0,106.0,53.6,46.4,7:21,6:49,5,4,0.0,18,55.6
6,Sebastian Aho\ahose01,22,CAR,F,68,922,696,57.0,3.8,679,548,55.3,2.5,12.4,85.8,98.2,59.1,40.9,19:25,14:40,71,58,11.0,333,61.9
7,Karl Alzner\alzneka01,31,MTL,D,4,36,28,56.3,-0.4,24,20,54.5,0.0,6.3,85.7,92.0,55.6,44.4,13:55,13:11,0,1,0.7,6,66.7
8,Michael Amadio\amadimi01,23,LAK,C,68,664,552,54.6,1.6,485,417,53.8,1.0,8.3,87.0,95.3,49.7,50.3,13:01,11:24,31,25,2.0,164,60.4
9,Joey Anderson\anderjo08,21,NJD,RW,18,124,189,39.6,-2.3,93,136,40.6,-2.0,11.8,91.1,103.0,38.6,61.4,13:13,11:08,4,7,0.3,39,53.8
